expression,annotation
20分钟后起床（设闹钟）,"不确定方法理解,不确定目标理解,语序语气理解,语义揣测,隐性步骤提取,特定应用功能,特定语义功能"
请帮我找出与这篇文章相似的例子,"定冠词指代理解,情境感知,语义揣测,特定语义功能,自主寻找,条件判断,信息处理,信息存储与提取"
请问导师刚刚发了什么消息,"不确定方法理解,模糊范围程度理解,别名理解,自主寻找,信息权限,信息分析,信息存储与提取"
请问我这个月花了多少钱,"个性化知识理解,规划,自主寻找,信息权限,信息运算,条件判断,信息存储与提取"
2023年上映的惊悚片有哪些？,"自主寻找,条件判断"
打开微信或者支付宝的付款码,"抗冗余表达干扰,规划,特定应用功能,特定语义功能,信息获取"
这个作业我没有思路（给出提示）,"不确定方法理解,不确定目标理解,定冠词指代理解,口语化表达理解,个性化知识理解,语义揣测,信息获取,条件判断,信息处理,信息存储与提取,专业,生成"
导航至附近的美食店,"模糊范围程度理解,缺失限定语理解,模糊表达理解,情境感知,个性化知识理解,任务调度,特定应用功能,特定语义功能,信息获取,信息处理"
打开微信给导师发送收到,"模糊指代理解,个性化知识理解,特定应用功能,特定语义功能,自主寻找,设备联通,信息处理,信息存储与提取,智能"
请帮我检查邮箱,"不确定目标理解,特定应用功能,自主寻找"
去门口帮我拿外卖,"不确定方法理解,不确定目标理解,口语化表达理解,个性化知识理解,隐性步骤提取,任务调度,特定执行动作,特定语义功能,识别与理解"
看一下jump，告诉我哪些我想要的游戏在打折,"隐性步骤提取,特定应用功能,特定语义功能,自主寻找,信息权限,条件判断,偏好分析,信息处理"
请帮我调研小台灯品类的产品，要求不超过200元，哪个最有性价比,"不确定方法理解,自主寻找,信息运算,条件判断,信息处理,通用"
查一下今日热门歌曲排行榜前三的歌曲、歌手名,"不确定目标理解,自主寻找,条件判断,信息处理"
解释一下眼动仪的心理学原理,"信息获取,信息分析,专业,生成"
跟马小东说我马上就到,"不确定方法理解,口语化表达理解,个性化知识理解,隐性步骤提取,特定执行动作,特定应用功能,特定语义功能,智能"
搜集一些法律知识的书籍和视频,"不确定方法理解,缺失限定语理解,特定语义功能,自主寻找,条件判断,信息存储与提取"
【在相册应用中】帮我给今天的照片集体加文字和滤镜,"特定应用功能,特定语义功能,信息权限,信息处理,识别与理解,生成"
